Year,A,B,C,D,E,
1950,309778.08,71024.83,35645.94,60307.64,36061.48,
1951,315918.29,74333.46,36601.05,61717.34,37111.70,
1952,325748.47,74000.10,37790.23,63848.08,37819.19,
1953,349834.54,78547.55,39200.72,65017.90,39051.19,
1954,360336.86,85485.43,41736.24,67034.38,40554.86,
1955,357640.19,95514.87,44782.76,69307.34,41843.73,
1956,377021.23,104117.26,48076.04,70638.23,43641.54,
1957,362088.60,102133.77,49615.96,72909.90,45811.91,
1958,397223.30,109738.22,52121.81,74809.51,47822.82,
1959,394455.40,117482.73,55381.65,77242.67,50027.65,
1960,422754.99,130234.70,60107.51,79089.29,52579.02,
1961,424483.79,139207.47,64029.64,81968.83,55177.56,
1962,419584.62,147826.05,67823.62,84619.62,59577.82,
1963,429578.35,163647.12,72616.89,87201.29,63898.09,
1964,466909.88,175735.39,77495.39,89652.43,68541.67,
1965,422166.45,181527.45,78949.62,92347.02,71204.54,
1966,417423.43,188409.31,81030.25,94386.19,74688.01,
1967,475450.04,194810.86,84542.77,97071.40,77679.41,
1968,475749.35,204686.63,88390.88,100978.78,81377.43,
1969,505790.27,220467.66,93178.37,104678.01,86322.85,
1970,536361.17,223971.83,97701.73,108308.32,91605.53,
1971,527891.96,229546.63,99951.41,113191.78,96011.65,
1972,505370.70,237350.16,102275.62,117190.30,99229.74,
1973,539479.54,238500.60,106567.45,120395.52,102251.95,
1974,533786.68,240911.33,113074.91,121633.28,106902.12,
1975,602278.06,256858.55,123291.79,128277.65,110875.07,
1976,571756.37,280683.48,128886.12,136078.79,114159.14,
1977,625859.87,301586.66,137311.46,141912.25,117532.18,
1978,640471.25,323461.71,148518.95,150031.11,123185.69,
1979,565622.53,311858.56,147633.14,152910.76,132128.91,
1980,638165.64,326155.19,156019.57,156549.04,135031.63,
1981,672702.12,350145.34,165565.44,169519.43,137924.04,
1982,678705.32,350565.40,174635.57,184409.87,149416.85,
1983,742153.61,380405.86,183527.79,202639.68,154900.82,
1984,753609.24,397385.07,192313.71,217685.31,166650.66,
1985,759860.75,414382.51,207616.51,237276.45,176919.86,
1986,766830.11,434895.63,220119.29,260672.52,191078.25,
1987,759446.97,460196.82,231545.26,280372.15,206183.22,
1988,878715.43,497804.23,245208.47,306917.40,218847.72,
1989,896069.35,539606.99,263379.30,338627.22,236396.59,
1990,939526.75,577003.60,276949.37,362984.70,244997.16,
1991,927985.07,576839.22,283674.33,398267.03,251021.98,
1992,982117.72,597457.50,299591.93,422523.85,265663.85,
1993,1012168.54,633645.52,320310.32,466767.98,277245.77,
1994,1066096.84,691412.02,352062.03,484021.20,282012.91,
1995,1068399.35,774174.41,398927.86,519382.54,302293.71,
1996,1159706.80,829254.48,431132.31,548625.62,323308.88,
1997,1149579.79,857190.56,463589.54,603181.58,353519.96,
1998,1216188.72,894480.87,499078.23,648033.49,389849.03,
1999,1251357.15,949982.31,557814.04,734097.64,437091.52,
2000,1255564.40,1011518.18,594216.16,768016.72,455046.88,
2001,1323123.03,1038870.07,644974.28,813332.40,472519.64,
2002,1264768.78,1112243.66,699168.02,866483.77,487752.28,
2003,1365910.06,1200124.83,777798.36,916537.73,510017.61,
2004,1385053.00,1321033.00,852704.00,985969.00,547742.00,
2005,1454707.00,1455520.00,933382.00,1079656.00,590962.00,
2006,1501776.00,1669312.00,1019769.00,1159462.00,608048.00,
2007,1582155.00,1812065.00,1093027.00,1249684.00,661365.00,
2008,1572216.00,1902062.00,1119630.00,1314529.00,765778.00,
2009,1576526.00,2077732.00,1188847.00,1399529.00,889203.00,
2010,1728167.00,2226276.00,1328622.00,1465064.00,956385.00,
2011,1762982.69,2373988.12,1413116.06,1530877.37,1025981.75,
2012,1786896.99,2458558.37,1551143.00,1680031.40,1069645.70,
2013,1872304.91,2561081.00,1652062.00,1867406.86,1110793.84,
2014,1894400.00,2733214.00,1807689.00,2073715.00,1203115.00,
2015,1934119.74,2993342.52,1992824.75,2294786.62,1276796.72,
2016,2075252.11,3217705.02,2146378.63,2492966.55,1395982.31,
2017,2169634.95,3446383.45,2368419.40,2537190.26,1512542.45,
2018,2217666.05,3646001.59,2537419.39,2718784.02,1624331.47,
2019,2290687.13,3605490.02,2699797.26,2916509.03,1758987.38,
2020,2334723.00,3359718.00,2208388.00,2872815.00,1677786.00,
2021,2456308.00,3749971.00,2470320.00,2988131.00,1857731.00,
2021,2456308.00,3749971.00,2470320.00,2988131.00,1857731.00,
2021,2456308.00,3749971.00,2470320.00,2988131.00,1857731.00,
2021,2456308.00,3749971.00,2470320.00,2988131.00,1857731.00,